arm,basket_id,entry_ts_ist,exit_ts_ist,hold_hours,entry_spot,exit_spot,atm_strike,be_call_strike,be_put_strike,prot_call_strike,prot_put_strike,short_expiry,long_expiry,qty_straddle,qty_strangle,qty_protection,atm_call_symbol,atm_call_side,atm_call_strike,atm_call_qty,atm_call_entry_mark,atm_call_entry_fill,atm_call_entry_slip_pct,atm_call_entry_fee,atm_call_exit_mark,atm_call_exit_fill,atm_call_exit_fee,atm_call_leg_pnl_usd,atm_put_symbol,atm_put_side,atm_put_strike,atm_put_qty,atm_put_entry_mark,atm_put_entry_fill,atm_put_entry_slip_pct,atm_put_entry_fee,atm_put_exit_mark,atm_put_exit_fill,atm_put_exit_fee,atm_put_leg_pnl_usd,be_call_symbol,be_call_side,be_call_qty,be_call_entry_mark,be_call_entry_fill,be_call_entry_slip_pct,be_call_entry_fee,be_call_exit_mark,be_call_exit_fill,be_call_exit_fee,be_call_leg_pnl_usd,be_put_symbol,be_put_side,be_put_qty,be_put_entry_mark,be_put_entry_fill,be_put_entry_slip_pct,be_put_entry_fee,be_put_exit_mark,be_put_exit_fill,be_put_exit_fee,be_put_leg_pnl_usd,prot_call_symbol,prot_call_side,prot_call_qty,prot_call_entry_mark,prot_call_entry_fill,prot_call_entry_slip_pct,prot_call_entry_fee,prot_call_exit_mark,prot_call_exit_fill,prot_call_exit_fee,prot_call_leg_pnl_usd,prot_put_symbol,prot_put_side,prot_put_qty,prot_put_entry_mark,prot_put_entry_fill,prot_put_entry_slip_pct,prot_put_entry_fee,prot_put_exit_mark,prot_put_exit_fill,prot_put_exit_fee,prot_put_leg_pnl_usd,net_credit,entry_drag,target_usd,stop_usd,net_theta_entry,mae_usd,max_stress_pct,absorption_at_trigger,trigger_hit_ts_ist,shorts_pnl,protection_pnl,gross_usd,fees_usd,slippage_usd,net_usd,exit_reason
s1l0_q10_20_tp10_sl99_cd4_ml3_notp,1,2026-06-01 09:00:00,2026-06-01 12:52:00,3.8666666666666667,73946.0,73017.0,74000.0,75000.0,73000.0,75000.0,73000.0,2026-06-02,2026-06-01,10,20,30,C-BTC-74000-020626,sell,74000.0,10,527.60811052,523.7155523041304,0.7377745220848071,0.08725628,201.62910155,204.0256543265681,0.08426259523687263,3.196898979775623,P-BTC-74000-020626,sell,74000.0,10,546.10750185,542.0784598381568,0.7377745220848071,0.08725628,1150.58435843,1157.1208187035238,0.08616006,-6.15042358865367,C-BTC-75000-020626,sell,20,155.92908217,154.07571739304313,1.188594681097551,0.12726654256665362,51.56112842,54.48136153049113,0.04500160462418568,1.9918871172510402,P-BTC-73000-020626,sell,20,213.10001558,210.56712012939806,1.188594681097551,0.1739284412268828,558.86734187,562.9905227305695,0.17232012,-7.04846805202343,C-BTC-75000-010626,buy,30,20.9905296,22.179356171935293,5.6636330506653465,0.02748022229702783,1.95874195,1.847805993542553,0.002289431625999223,-0.6099465053517822,P-BTC-73000-010626,buy,30,36.30759992,38.36392914897247,5.6636330506653465,0.04753290821557688,207.48881246,205.02261147122795,0.25402301561285145,4.999760469667664,16.134498312244464,-0.8150165551616766,1.6134498312244465,-159.7315332912202,0.5331922250594872,-3.048483180200003,0.0,,,-8.010105543650436,4.389813964315882,-3.6202915793345545,1.1947775014060502,0.5718083991345511,-4.815069080740605,HARD_FLOOR
s1l0_q10_20_tp10_sl99_cd4_ml3_notp,2,2026-06-01 16:52:00,2026-06-01 17:25:00,0.55,72695.5,72655.5,72600.0,73600.0,71600.0,73600.0,71600.0,2026-06-02,2026-06-01,10,20,30,C-BTC-72600-020626,sell,72600.0,10,553.36655607,549.2839586055774,0.7377745220848071,0.08578069,533.86566221,537.8043870479447,0.08573349000000001,0.11479571557632653,P-BTC-72600-020626,sell,72600.0,10,432.65115787,429.4591678577302,0.7377745220848071,0.08578069,451.38148138,454.7116589470307,0.08573349000000001,-0.25252491089300466,C-BTC-73600-020626,sell,20,147.36824104,145.61662996537152,1.188594681097551,0.12027933635139688,141.06573373,142.74243353796604,0.11790525010235996,0.05748392854810959,P-BTC-71600-020626,sell,20,165.71061677,163.74098919305783,1.188594681097551,0.1352500570734658,173.54894613,175.61173967280203,0.1450552969697345,-0.23741500959488407,C-BTC-73600-010626,buy,30,0.1,0.10566363305066535,5.6636330506653465,0.00013091724134977437,0.1,0.09433636694933466,0.00011688275865022565,-0.00033981798303992086,P-BTC-71600-010626,buy,30,0.1,0.10566363305066535,5.6636330506653465,0.00013091724134977437,0.1,0.09433636694933466,0.00011688275865022565,-0.00033981798303992086,15.968243829818624,-0.5748630736889393,1.5968243829818625,-158.0856139152044,10.674714945015491,-0.17948180860000051,0.0,,,-0.3176602763634526,-0.0006796359660798417,-0.3183399123295325,0.862013900496957,0.2953291748295324,-1.1803538128264894,TIME_CUTOFF
s1l0_q10_20_tp10_sl99_cd4_ml3_notp,3,2026-06-02 09:00:00,2026-06-02 12:32:00,3.533333333333333,70907.0,69804.5,71000.0,72200.0,69800.0,72200.0,69800.0,2026-06-03,2026-06-02,10,20,30,C-BTC-71000-030626,sell,71000.0,10,555.04233214,550.9473712266857,0.7377745220848071,0.08367026000000001,162.55946184,164.49163495705105,0.06793504523726208,3.864557362696347,P-BTC-71000-030626,sell,71000.0,10,623.25097463,619.3342304965404,0.6284377069421756,0.08367026000000001,1314.35531561,1321.8221573437972,0.08236931,-7.024879268472569,C-BTC-72200-030626,sell,20,168.00436469,166.00747374728292,1.188594681097551,0.1371221733152557,35.25556606,37.25231195157332,0.030770409671999562,2.575103235914192,P-BTC-69800-030626,sell,20,219.7669394,217.15480124748072,1.188594681097551,0.16734052000000002,566.71403395,570.8951057055622,0.16473862,-7.07480608916163,C-BTC-72200-020626,buy,30,18.0899243,19.11447123149514,5.6636330506653465,0.02368282985582248,0.40683514,0.38379349054923934,0.0004755201347905076,-0.561920332228377,P-BTC-69800-020626,buy,30,36.94534545,39.037794245588685,5.6636330506653465,0.048367827070284385,186.78469503,184.56458207976914,0.22867551719683396,4.365803635025413,17.621493552815018,-0.8096613744263432,1.762149355281502,-174.45278617286868,1.3815435618876695,-3.3054928126000016,0.0,,,-7.66002475902366,3.8038833027970362,-3.8561414562266236,1.1188182924822485,0.5506486436266215,-4.974959748708872,HARD_FLOOR
s1l0_q10_20_tp10_sl99_cd4_ml3_notp,4,2026-06-02 16:32:00,2026-06-02 17:25:00,0.8833333333333333,69582.0,69547.5,69600.0,70800.0,68400.0,70800.0,68400.0,2026-06-03,2026-06-02,10,20,30,C-BTC-69600-030626,sell,69600.0,10,616.48169952,612.6074960638184,0.6284377069421756,0.08210676,583.30792302,587.6114202613436,0.08206605000000002,0.2499607580247482,P-BTC-69600-030626,sell,69600.0,10,598.81428215,594.3963829416923,0.7377745220848071,0.08210676,604.0319481,607.8279126238378,0.08206605000000002,-0.13431529682145538,C-BTC-70800-030626,sell,20,154.25510332,152.42163536661693,1.188594681097551,0.1259002708128256,141.69817596,143.3823929426728,0.11843385657064773,0.18078484847888263,P-BTC-68400-030626,sell,20,244.86638419,241.95591537172174,1.188594681097551,0.16421352,250.3717415,253.34764670244033,0.16413210000000003,-0.2278346266143717,C-BTC-70800-020626,buy,30,0.29431472,0.31098362575489313,5.6636330506653465,0.0003853087123103126,0.1,0.09433636694933466,0.00011688275865022565,-0.006499417764166754,P-BTC-68400-020626,buy,30,0.46419094,0.4904810114960342,5.6636330506653465,0.0006077059732435864,0.1,0.09433636694933466,0.00011688275865022565,-0.011884339336400984,19.93354586570435,-0.6344088568940269,1.993354586570435,-197.34210407047306,11.882172410734661,-0.4268307290000004,0.0,,,0.06859568306780373,-0.01838375710056774,0.05021192596723599,0.9022521475863277,0.35362541073276427,-0.8520402216190917,TIME_CUTOFF
s1l0_q10_20_tp10_sl99_cd4_ml3_notp,5,2026-06-03 09:00:00,2026-06-03 09:01:00,0.016666666666666666,66182.0,66130.0,66200.0,67800.0,64800.0,67800.0,67400.0,2026-06-04,2026-06-03,10,20,30,C-BTC-66200-040626,sell,66200.0,10,794.82458069,789.829603320899,0.6284377069421756,0.07809476,767.86769405,772.6932641788376,0.0780334,0.17136339142061388,P-BTC-66200-040626,sell,66200.0,10,766.22446811,761.4092246325796,0.6284377069421756,0.07809476,796.01746675,801.0199406649031,0.0780334,-0.3961071603232347,C-BTC-67800-040626,sell,20,196.54989042,194.2137088767648,1.188594681097551,0.15618952,186.71910655,188.93843991904617,0.15606315137313215,0.10550537915437247,P-BTC-64800-040626,sell,20,339.09971695,336.59792563388123,0.7377745220848071,0.15618952,356.85538363,359.4881717311101,0.1560668,-0.45780492194457795,C-BTC-67800-030626,buy,30,18.21284059,19.244349049120235,5.6636330506653465,0.023843748471859973,14.45848447,13.639608964931764,0.016899475507550457,-0.16814220252565412,P-BTC-67400-030626,buy,30,1218.00227444,1224.9217353396791,0.5680991772252945,0.23428427999999998,1273.70589926,1266.469986526034,0.23410019999999998,1.2464475355906484,-11.19636156191627,-1.1600873348881318,0.0,110.84397946297108,10.750543012961504,0.0,0.0,,,-0.5770433116928263,1.0783053330649943,0.5012620213721679,1.4458930153525427,0.8703572634278303,-0.9446309939803748,STOPLOSS
s1l0_q10_20_tp10_sl99_cd4_ml3_notp,6,2026-06-03 13:01:00,2026-06-03 15:37:00,2.6,67186.0,67404.0,67200.0,68800.0,65600.0,68800.0,67400.0,2026-06-04,2026-06-03,10,20,30,C-BTC-67200-040626,sell,67200.0,10,771.47566543,766.6274214485549,0.6284377069421756,0.07927948000000001,791.05342344,796.024701434954,0.07953672,-0.293972799863991,P-BTC-67200-040626,sell,67200.0,10,743.65429812,738.9808941013177,0.6284377069421756,0.07927948000000001,560.93812087,565.0765794104402,0.07953672,1.7390431469087753,C-BTC-68800-040626,sell,20,180.88034103,178.7304069173663,1.188594681097551,0.14763131611374455,155.8361266,157.68838651199604,0.13025060725890875,0.4208404081074053,P-BTC-65600-040626,sell,20,273.96791267,270.71154463209035,1.188594681097551,0.15855896000000003,187.80554841,190.03779516920736,0.1569712188097653,1.6134749892576599,C-BTC-68800-030626,buy,30,2.89561403,3.059610983222783,5.6636330506653465,0.003790858008213028,1.62131805,1.529492545063797,0.0018950412633340448,-0.04590355314476957,P-BTC-67400-030626,buy,30,376.41245533,379.1895305233786,0.7377745220848071,0.23783844,146.04625546,144.31035743566028,0.17880053286278308,-7.046375192631549,12.577447941289819,-0.9979532215321405,1.2577447941289819,-124.5167346187692,-5.409650447469348,-3.093699109299999,0.0,,,3.4793857444098495,-7.092278745776319,-3.6128930013664693,1.333369374316749,0.5191938920664704,-4.946262375683219,HARD_FLOOR
s1l0_q10_20_tp10_sl99_cd4_ml3_notp,7,2026-06-04 09:00:00,2026-06-04 09:01:00,0.016666666666666666,64020.0,64209.5,64000.0,66200.0,61800.0,66200.0,64600.0,2026-06-05,2026-06-04,10,20,30,C-BTC-64000-050626,sell,64000.0,10,1113.02429373,1106.7012118750022,0.5680991772252945,0.0755436,1217.82964328,1224.7481234634795,0.07576721,-1.180469115884773,P-BTC-64000-050626,sell,64000.0,10,1062.61927332,1056.5825419712319,0.5680991772252945,0.0755436,965.00129362,970.4834580292686,0.07576721,0.8609908394196327,C-BTC-66200-050626,sell,20,285.01168943,281.62405564892873,1.188594681097551,0.1510872,325.58675555,327.9888516797305,0.15153442,-0.9272959206160352,P-BTC-61800-050626,sell,20,449.345031,446.0298778450279,0.7377745220848071,0.1510872,403.00569668,405.97897003265547,0.15153442,0.8010181562474487,C-BTC-66200-040626,buy,30,22.52489179,23.800619006045046,5.6636330506653465,0.029488966948489813,26.67737453,25.16646592906914,0.03118125128611667,0.04097540769072282,P-BTC-64600-040626,buy,30,813.02660846,818.1359742350359,0.6284377069421756,0.2266308,691.42800428,687.0828099847467,0.22730163,-3.9315949275086735,10.927818411109048,-1.158588027439443,1.0927818411109047,-108.18540226997958,-1.8381262786500763,-3.4799719777000027,0.0,,,-0.445756040833727,-3.8906195198179505,-4.336375560651677,1.4224675082346063,0.8564035829516753,-5.758843068886284,HARD_FLOOR
s1l0_q10_20_tp10_sl99_cd4_ml3_notp,8,2026-06-04 13:01:00,2026-06-04 13:10:00,0.15,63801.0,63927.0,63800.0,65800.0,61800.0,65800.0,64600.0,2026-06-05,2026-06-04,10,20,30,C-BTC-63800-050626,sell,63800.0,10,1004.02261449,998.3187702779265,0.5680991772252945,0.07528518,1064.95956719,1071.0095937289884,0.07543385999999999,-0.7269082345106187,P-BTC-63800-050626,sell,63800.0,10,964.11863802,958.6414879699328,0.5680991772252945,0.07528518,904.81636113,909.9566154329793,0.07543385999999999,0.4868487253695344,C-BTC-65800-050626,sell,20,261.56388939,258.45495491303853,1.188594681097551,0.15057036,280.08677556,283.4158720767638,0.15086771999999998,-0.4992183432745048,P-BTC-61800-050626,sell,20,390.62414717,387.74222173506865,0.7377745220848071,0.15057036,371.22091629,373.9596896310374,0.15086771999999998,0.27565064208062495,C-BTC-65800-040626,buy,30,1.96558679,2.076910413077952,5.6636330506653465,0.002573292001803583,2.26745132,2.1390311976327325,0.0026502596538669557,0.0018636235366434129,P-BTC-64600-040626,buy,30,845.02888506,850.3393652082702,0.6284377069421756,0.22585554000000002,741.00356294,736.3468171407001,0.22630158,-3.419776442027105,6.9210578468002915,-1.0744211660015133,0.6921057846800291,-68.51847268332288,7.788748399015871,-3.1104435915999966,0.0,,,-0.46362721033496423,-3.4179128184904615,-3.881540028825426,1.3616949116556705,0.7710964372254298,-5.243234940481097,HARD_FLOOR
s1l0_q10_20_tp10_sl99_cd4_ml3_notp,9,2026-06-05 09:00:00,2026-06-05 10:28:00,1.4666666666666666,62699.0,63527.0,62600.0,64200.0,61200.0,64200.0,61200.0,2026-06-06,2026-06-05,10,20,30,C-BTC-62600-060626,sell,62600.0,10,845.09015854,839.7792933260772,0.6284377069421756,0.07398482,1333.72475738,1341.3016367531259,0.07496185999999999,-5.015223434270487,P-BTC-62600-060626,sell,62600.0,10,720.20934099,715.6832739222991,0.6284377069421756,0.07398482,368.7650855,371.48574034716324,0.07496185999999999,3.441975335751359,C-BTC-64200-060626,sell,20,207.98622247,205.51410929230585,1.188594681097551,0.14796964,402.61876904,405.58918773910864,0.14992371999999998,-4.001501568936056,P-BTC-61200-060626,sell,20,331.46045386,329.0150230806342,0.7377745220848071,0.14796964,165.28069653,167.24521409783657,0.13814454684481303,3.2353961796559525,C-BTC-64200-050626,buy,30,34.46074831,36.41247864079176,5.6636330506653465,0.04511506103594099,108.38603882,107.09776812753314,0.13269413471001357,2.1205586846022415,P-BTC-61200-050626,buy,30,143.74020429,145.4486927127897,1.188594681097551,0.18021093027114643,18.06824713,17.044927913869426,0.021118665685284223,-3.8521129439676076,20.789373179335122,-0.9757616758719656,2.078937317933512,-205.81479447541773,-8.325249756376584,-3.493359217800003,0.0,,,-2.339353487799231,-1.731554259365366,-4.070907747164597,1.261039698547198,0.5775485293645956,-5.331947445711795,HARD_FLOOR
s1l0_q10_20_tp10_sl99_cd4_ml3_notp,10,2026-06-05 14:28:00,2026-06-05 14:45:00,0.2833333333333333,62440.0,63090.5,62400.0,64000.0,60800.0,64000.0,61000.0,2026-06-06,2026-06-05,10,20,30,C-BTC-62400-060626,sell,62400.0,10,872.18490611,866.7037672857466,0.6284377069421756,0.0736792,1282.70606621,1289.993108818358,0.07444678999999998,-4.232893415326114,P-BTC-62400-060626,sell,62400.0,10,795.89706961,790.895352316123,0.6284377069421756,0.0736792,551.87146923,555.943036324634,0.07444678999999998,2.3495231599148894,C-BTC-64000-060626,sell,20,193.66838286,191.3664507623584,1.188594681097551,0.1473584,362.65176545,365.3273177793809,0.14889357999999997,-3.4792173403404503,P-BTC-60800-060626,sell,20,376.13165175,373.35664825389176,0.7377745220848071,0.1473584,264.94881039,268.09797785792676,0.14889357999999997,2.1051734079193,C-BTC-64000-050626,buy,30,3.18227781,3.3625103478111495,5.6636330506653465,0.004166150320938014,11.21745769,10.582142048824759,0.013111273998493878,0.2165889510304083,P-BTC-61000-050626,buy,30,20.14650779,21.28753206374931,5.6636330506653465,0.0263752522269854,2.54932279,2.404938501897416,0.0029797188038508987,-0.5664778068555568,27.130951903996888,-0.7186215799510391,2.713095190399689,-268.5964238495692,4.532213515518727,-3.107826575399999,0.0,,,-3.2574141878323752,-0.3498888558251485,-3.6073030436575237,0.9353883353502681,0.4994764682575232,-4.542691379007792,HARD_FLOOR
