OPTION MARK DOWNLOADER — DRY RUN
================================================================================
--months=24  --dry-run (NO candle download)
--tail-days=5
contract life assumption (short unk.): 10d before 12:00 UTC settle
short-dated if life <= 14d → last 5d only
longer life (monthlies) → full listing life
strike band: entry_spot ± 6000

lookback range UTC: 2024-09-15 13:13:22+00:00 -> 2026-09-16 01:13:22+00:00

products page=18 rows=500 persisted=500 new=500 unique_so_far=9000 oldest=2026-05-18 newest=2026-06-12 total_count=10000
products page=19 rows=500 persisted=500 new=500 unique_so_far=9500 oldest=2026-05-11 newest=2026-06-05 total_count=10000
products page=20 rows=500 persisted=500 new=500 unique_so_far=10000 oldest=2026-05-03 newest=2026-07-31 total_count=10000
products page=21 rows=500 persisted=500 new=500 unique_so_far=10500 oldest=2026-04-26 newest=2026-07-31 total_count=10000
products page=22 rows=500 persisted=500 new=500 unique_so_far=11000 oldest=2026-04-20 newest=2026-07-31 total_count=10000
products page=23 rows=500 persisted=500 new=500 unique_so_far=11500 oldest=2026-04-14 newest=2026-06-26 total_count=10000
products page=24 rows=500 persisted=500 new=500 unique_so_far=12000 oldest=2026-04-08 newest=2026-06-26 total_count=10000
products page=25 rows=500 persisted=500 new=500 unique_so_far=12500 oldest=2026-03-31 newest=2026-06-26 total_count=10000
products page=26 rows=500 persisted=500 new=500 unique_so_far=13000 oldest=2026-03-27 newest=2026-06-26 total_count=10000
products page=27 rows=500 persisted=500 new=500 unique_so_far=13500 oldest=2026-03-20 newest=2026-04-10 total_count=10000
products page=28 rows=500 persisted=500 new=500 unique_so_far=14000 oldest=2026-03-14 newest=2026-04-03 total_count=10000
products page=29 rows=500 persisted=500 new=500 unique_so_far=14500 oldest=2026-03-09 newest=2026-04-03 total_count=10000
products page=30 rows=500 persisted=500 new=500 unique_so_far=15000 oldest=2026-03-04 newest=2026-05-29 total_count=10000
products page=31 rows=500 persisted=500 new=500 unique_so_far=15500 oldest=2026-02-28 newest=2026-05-29 total_count=10000
products page=32 rows=500 persisted=500 new=500 unique_so_far=16000 oldest=2026-02-23 newest=2026-05-29 total_count=10000
products page=33 rows=500 persisted=500 new=500 unique_so_far=16500 oldest=2026-02-17 newest=2026-03-13 total_count=10000
products page=34 rows=500 persisted=500 new=500 unique_so_far=17000 oldest=2026-02-11 newest=2026-03-06 total_count=10000
products page=35 rows=500 persisted=500 new=500 unique_so_far=17500 oldest=2026-02-06 newest=2026-04-24 total_count=10000
products page=36 rows=500 persisted=500 new=500 unique_so_far=18000 oldest=2026-02-04 newest=2026-04-24 total_count=10000
products page=37 rows=500 persisted=500 new=500 unique_so_far=18500 oldest=2026-02-01 newest=2026-04-24 total_count=10000
products page=38 rows=500 persisted=500 new=500 unique_so_far=19000 oldest=2026-01-28 newest=2026-04-24 total_count=10000
products page=39 rows=500 persisted=500 new=500 unique_so_far=19500 oldest=2026-01-21 newest=2026-02-13 total_count=10000
products page=40 rows=500 persisted=500 new=500 unique_so_far=20000 oldest=2026-01-15 newest=2026-03-27 total_count=10000
products page=41 rows=500 persisted=500 new=500 unique_so_far=20500 oldest=2026-01-09 newest=2026-03-27 total_count=10000
products page=42 rows=500 persisted=500 new=500 unique_so_far=21000 oldest=2026-01-03 newest=2026-03-27 total_count=10000
