time_of_day,dte,strike_mode,adjustment_setting,wing,fill_package,n,mean,median,ci_lo,ci_hi,p5,worst,worst_date,sortino_per_cycle,mdd,surf_wing_pct
15:00,0,B20,none,OFF,taker,386,0.081932,0.335353,-0.012361,0.170231,-1.791193,-6.446550,2026-02-27,0.100700,18.377690,0.00
13:00,0,A200,none,1000,taker,386,0.100821,0.405702,-0.027241,0.221985,-2.605395,-9.771503,2025-11-21,0.100193,14.404918,1.30
15:00,0,B20,none,1000,taker,386,0.070850,0.322448,-0.013856,0.152063,-1.805003,-3.635328,2025-08-07,0.100115,16.733356,2.59
11:00,0,B40,none,1000,taker,381,0.096109,0.470094,-0.040834,0.229258,-2.471904,-3.279288,2026-02-14,0.095708,24.866626,0.52
13:00,0,B15,none,OFF,taker,386,0.096597,0.394984,-0.017219,0.203923,-2.254106,-6.323771,2026-03-27,0.095638,21.468495,0.00
15:00,0,B30,none,1500,taker,386,0.084328,0.384255,-0.026714,0.190769,-1.910557,-5.881132,2026-02-27,0.094051,22.538321,10.10
15:00,0,B40,none,OFF,maker,386,0.085761,0.370058,-0.025448,0.193071,-1.970972,-6.459972,2026-02-27,0.093059,21.993763,0.00
13:00,0,A300,none,1000,taker,386,0.093575,0.341379,-0.040978,0.223174,-2.395750,-10.469419,2025-11-21,0.091818,18.477937,1.04
13:00,0,B20,none,1000,taker,386,0.087396,0.434250,-0.028353,0.194611,-2.485271,-9.771503,2025-11-21,0.089804,12.800639,3.37
13:00,0,B25,none,OFF,maker,386,0.104019,0.488850,-0.039588,0.237268,-2.615021,-6.874326,2025-10-01,0.089618,23.831119,0.00
13:00,0,B30,none,1000,taker,386,0.092615,0.446299,-0.037217,0.215355,-2.623348,-10.469419,2025-11-21,0.088916,14.705157,2.59
15:00,0,B30,none,2000,taker,384,0.081473,0.383817,-0.030032,0.185585,-1.911221,-6.447383,2026-02-27,0.088628,23.638212,15.62
15:00,0,A150,none,OFF,maker,386,0.080287,0.387892,-0.029418,0.185407,-1.970972,-6.141683,2026-02-27,0.088366,22.096200,0.00
15:00,3,B20,none,OFF,maker,11,0.267993,0.498396,-2.276265,2.622075,-6.245856,-7.775049,2026-01-27,0.087486,9.146910,0.00
15:00,0,B25,none,1500,taker,385,0.075459,0.370619,-0.030030,0.173936,-1.956431,-5.881132,2026-02-27,0.087333,22.327403,10.39
15:00,0,A200,none,1000,maker,386,0.066455,0.345991,-0.032390,0.162456,-1.998488,-3.192509,2026-02-27,0.086533,19.580764,1.04
15:00,3,B20,none,OFF,taker,11,0.260721,0.498396,-2.266071,2.539897,-6.237856,-7.775049,2026-01-27,0.085174,9.226910,0.00
15:00,0,A150,none,4000,taker,377,0.077780,0.397144,-0.034575,0.182989,-1.974997,-6.141015,2026-02-27,0.085119,23.662358,38.73
11:00,0,B25,none,1000,taker,381,0.086177,0.598013,-0.042512,0.210260,-2.748813,-3.490374,2026-02-14,0.084382,22.531939,4.20
15:00,0,B25,none,2000,taker,384,0.074021,0.371272,-0.030177,0.172289,-1.960021,-6.447383,2026-02-27,0.084275,23.388615,16.15
13:00,0,B30,none,OFF,maker,386,0.104317,0.451591,-0.049494,0.250780,-2.871306,-6.902525,2026-03-04,0.083802,26.074858,0.00
13:00,3,B10,none,OFF,maker,19,0.351344,1.526250,-1.999380,1.750172,-3.603452,-18.517999,2026-06-02,0.082177,18.517999,0.00
15:00,0,A300,none,3000,taker,379,0.078671,0.389900,-0.042078,0.195793,-1.970036,-6.948024,2025-12-29,0.081563,23.714575,27.70
15:00,0,A300,none,1000,maker,386,0.062462,0.345991,-0.036381,0.156289,-2.027229,-3.192509,2026-02-27,0.081337,17.555081,0.52
13:00,0,B20,none,OFF,maker,386,0.091979,0.450102,-0.039486,0.218854,-2.456773,-6.834375,2025-11-21,0.080989,22.419026,0.00
15:00,0,B20,none,1500,taker,385,0.064851,0.322527,-0.031229,0.155172,-1.895506,-5.881132,2026-02-27,0.080043,20.285322,9.35
11:00,0,A200,none,1000,taker,379,0.082886,0.607554,-0.053970,0.212777,-2.725120,-3.279288,2026-02-14,0.080001,24.563713,1.58
15:00,0,A150,none,1000,maker,386,0.061282,0.365397,-0.033604,0.154246,-1.998488,-3.192509,2026-02-27,0.079792,21.361330,1.30
11:00,0,B30,none,1000,taker,381,0.082957,0.545561,-0.050601,0.211961,-2.732297,-3.380949,2026-02-28,0.079684,25.136905,2.62
11:00,0,B40,none,OFF,taker,381,0.131377,0.611048,-0.077009,0.330743,-3.963184,-11.349415,2025-11-21,0.079155,39.257332,0.00
15:00,0,A300,none,1500,maker,386,0.071501,0.358432,-0.043655,0.179829,-1.977219,-5.578348,2026-02-27,0.079052,21.016113,10.62
15:00,0,A200,none,3000,taker,379,0.075287,0.390317,-0.047336,0.188075,-1.970036,-6.948024,2025-12-29,0.078782,24.855844,28.50
15:00,0,B25,none,OFF,maker,386,0.069467,0.352802,-0.038805,0.169502,-1.959442,-6.459972,2026-02-27,0.078655,23.237209,0.00
15:00,0,A200,none,1500,maker,386,0.071054,0.362557,-0.044367,0.177517,-1.977219,-5.578348,2026-02-27,0.078615,22.758925,10.62
13:00,0,A200,none,1500,taker,386,0.095924,0.442159,-0.052534,0.241133,-2.781052,-9.675703,2025-11-21,0.078473,22.811791,10.36
13:00,0,B30,none,1500,taker,386,0.098268,0.460920,-0.052595,0.244414,-2.745644,-11.428293,2025-11-21,0.078364,21.985331,12.44
15:00,0,A100,none,1000,taker,386,0.059006,0.432091,-0.031946,0.145704,-1.926688,-3.481965,2026-02-27,0.078050,19.986142,1.55
15:00,0,A200,none,2000,maker,385,0.071965,0.366058,-0.042195,0.180401,-1.979341,-6.142100,2026-02-27,0.077778,23.444772,14.55
13:00,0,B40,none,1500,taker,386,0.096113,0.418209,-0.063387,0.244544,-2.960940,-10.077856,2025-11-21,0.077503,25.246971,10.88
15:00,0,A100,none,OFF,taker,386,0.066605,0.460943,-0.039467,0.164859,-1.907841,-6.446550,2026-02-27,0.076882,21.559837,0.00
13:00,0,B15,none,OFF,maker,386,0.078273,0.396902,-0.038511,0.189740,-2.118816,-6.289075,2025-10-01,0.076694,21.035841,0.00
15:00,0,A150,none,3000,taker,380,0.072129,0.399455,-0.039888,0.182654,-1.968456,-7.199587,2025-12-29,0.076505,26.310693,27.63
11:00,0,B40,none,1500,taker,381,0.103208,0.570075,-0.068170,0.275498,-3.617905,-5.095637,2025-10-26,0.076491,35.149650,9.45
15:00,0,A300,none,2000,maker,385,0.071637,0.360723,-0.046884,0.181224,-1.979341,-6.142100,2026-02-27,0.076405,22.424914,14.55
