arm,basket_id,entry_ts_ist,exit_ts_ist,hold_hours,entry_spot,exit_spot,atm_strike,short_call_strike,short_put_strike,prot_call_strike,prot_put_strike,prot_call_otm_pts,prot_put_otm_pts,exact_strike_available,strike_gap_pts,qty_short,qty_protection,protection_ratio,short_dte,short_call_symbol,short_call_side,short_call_qty,short_call_entry_mark,short_call_entry_fill,short_call_entry_slip_pct,short_call_entry_fee,short_call_exit_mark,short_call_exit_fill,short_call_exit_fee,short_call_expired_flag,short_call_leg_pnl_usd,short_put_symbol,short_put_side,short_put_qty,short_put_entry_mark,short_put_entry_fill,short_put_entry_slip_pct,short_put_entry_fee,short_put_exit_mark,short_put_exit_fill,short_put_exit_fee,short_put_expired_flag,short_put_leg_pnl_usd,prot_call_symbol,prot_call_side,prot_call_qty,prot_call_entry_mark,prot_call_entry_fill,prot_call_entry_slip_pct,prot_call_entry_fee,prot_call_exit_mark,prot_call_exit_fill,prot_call_exit_fee,prot_call_expired_flag,prot_call_leg_pnl_usd,prot_put_symbol,prot_put_side,prot_put_qty,prot_put_entry_mark,prot_put_entry_fill,prot_put_entry_slip_pct,prot_put_entry_fee,prot_put_exit_mark,prot_put_exit_fill,prot_put_exit_fee,prot_put_expired_flag,prot_put_leg_pnl_usd,short_credit,long_debit,net_credit,entry_drag,target_pct,target_usd,target_usd_absolute,stop_usd,stop_usd_absolute,short_premium_entry_points,mae_usd,net_theta_entry,shorts_pnl,protection_pnl,gross_usd,fees_usd,slippage_usd,net_usd,exit_reason,entry_mode,entry_time_ist,vwap_mid_at_entry,swing_high,swing_low,swing_high_vwap,swing_low_vwap,bars_since_day_reset,signals_found_today,signal_rank_used
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emvwap_w0900-1500,1,2025-11-01 11:40:00,2025-11-01 17:29:00,5.816666666666666,110011.0,110108.5,110000.0,112000.0,107800.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-112000-021125,sell,100,39.83705098,37.580826594286314,5.6636330506653465,0.1552088138344025,70.52585209,74.5201775582326,0.30776833331550063,0,-3.693935096394629,P-BTC-107800-021125,sell,100,42.63841858,40.22353501302209,5.6636330506653465,0.16612319960378122,41.59089624,43.946451985516575,0.18149884670018346,0,-0.3722916972494488,,,0,,,,,,,,0,,,,0,,,,,,,,0,,7.78043616073084,0,7.78043616073084,-0.7884428087073437,20.0,1.556087232146168,1.556087232146168,,,82.47546956,-3.8176294559999997,14.650626926322174,-4.066226793644078,0.0,-4.066226793644078,0.8105991934538679,1.1020989166440778,-4.876825987097946,TIME_CUTOFF,vwap,2025-11-01 11:40:00,110045.43039030973,110551.0,109442.5,109873.09572040108,109634.80915162724,140,19,1
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emvwap_w0900-1500,2,2025-11-02 09:05:00,2025-11-02 17:29:00,8.4,110011.0,111206.5,110000.0,112000.0,108000.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-112000-031125,sell,100,201.64978858,199.25298991849365,1.188594681097551,0.8229148483633789,566.20869955,570.3860430771076,1.3116526000000002,0,-37.113305315861396,P-BTC-108000-031125,sell,100,200.24388323,197.863795084705,1.188594681097551,0.8171774736998318,110.37190991,111.68378456061605,0.4612540302353443,0,8.618001052408896,,,0,,,,,,,,0,,,,0,,,,,,,,0,,39.71167850031987,0,39.71167850031987,-2.117781002743345,20.0,7.942335700063975,7.942335700063975,,,401.89367181,-27.468693765,40.77168419447848,-28.4953042634525,0.0,-28.4953042634525,3.4129989522985555,1.0266104984525002,-31.908303215751054,TIME_CUTOFF,vwap,2025-11-02 09:05:00,110004.01299331433,110010.0,109928.5,109998.02042005259,110003.54511162867,109,15,1
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emvwap_w0900-1500,3,2025-11-03 14:30:00,2025-11-03 17:29:00,2.9833333333333334,107604.5,107759.5,107600.0,109200.0,106000.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-109200-041125,sell,100,430.57233622,427.3956832242235,0.7377745220848071,1.2697331,392.72776305,395.6252084269365,1.2714323,0,3.1770474797286967,P-BTC-106000-041125,sell,100,426.60743781,423.460036824519,0.7377745220848071,1.2697331,341.1021547,343.61871949165896,1.2714323,0,7.984131733286006,,,0,,,,,,,,0,,,,0,,,,,,,,0,,85.08557200487425,0,85.08557200487425,-3.171871598125752,20.0,17.01711440097485,17.01711440097485,,,857.1797740300001,0.0,76.45481194418068,11.161179213014702,0.0,11.161179213014702,5.0823308,1.173806414985296,6.078848413014701,TIME_CUTOFF,vwap,2025-11-03 14:30:00,107520.55425548641,110721.5,106953.0,110040.00340454807,107536.76441719191,174,3,1
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emvwap_w0900-1500,4,2025-11-04 10:10:00,2025-11-04 17:29:00,7.316666666666666,106821.0,104445.5,106800.0,108400.0,105000.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-108400-051125,sell,100,456.0066158,452.64231516960643,0.7377745220848071,1.2604878000000002,92.01978777,97.23145088329383,0.4015658921480036,0,35.54108642863127,P-BTC-105000-051125,sell,100,455.05757229,451.7002734608267,0.7377745220848071,1.2604878000000002,1237.58556368,1244.616277084725,1.2335897000000002,0,-79.29160036238983,,,0,,,,,,,,0,,,,0,,,,,,,,0,,90.43425886304331,0,90.43425886304331,-3.1931355459566904,20.0,18.086851772608664,18.086851772608664,,,911.06418809,-99.328639938,69.98075705045989,-43.75051393375856,0.0,-43.75051393375856,4.156131192148004,1.8963975977585763,-47.906645125906564,TIME_CUTOFF,vwap,2025-11-04 10:10:00,106766.27631475744,107258.5,106173.0,106543.30871483585,106581.65691171365,122,3,1
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emvwap_w0900-1500,5,2025-11-05 12:45:00,2025-11-05 15:00:00,2.25,101897.5,101839.5,101800.0,103800.0,99600.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-103800-061125,sell,100,518.49684107,514.6715034787709,0.7377745220848071,1.2023905,403.34539323,406.32117277725376,1.2017061000000002,0,10.835033070151713,P-BTC-99600-061125,sell,100,514.03025223,510.23786799323875,0.7377745220848071,1.2023905,422.83610968,425.9556867673936,1.2017061000000002,0,8.428218122584514,,,0,,,,,,,,0,,,,0,,,,,,,,0,,102.49093714720098,0,102.49093714720098,-3.166553182799029,20.0,20.498187429440197,20.498187429440197,,,1032.5270933,-0.06624251600001152,88.76523266455123,19.263251192736227,0.0,19.263251192736227,4.8081932,1.371307846263767,14.455057992736227,TARGET,vwap,2025-11-05 12:45:00,101825.97281353644,100696.5,98922.5,100435.70701671742,100235.56704169697,153,15,1
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emvwap_w0900-1500,6,2025-11-06 10:45:00,2025-11-06 17:29:00,6.733333333333333,103387.5,103153.5,103400.0,105000.0,101500.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-105000-071125,sell,100,361.50805282,358.84093851100914,0.7377745220848071,1.2199725000000001,288.63561018,292.06631769035295,1.2062338920611577,0,6.67746208206562,P-BTC-101500-071125,sell,100,362.62858344,359.9532021415826,0.7377745220848071,1.2199725000000001,362.16777287,364.83975442543687,1.2176715,0,-0.48865522838542574,,,0,,,,,,,,0,,,,0,,,,,,,,0,,71.87941406525917,0,71.87941406525917,-2.9741945607408242,20.0,14.375882813051835,14.375882813051835,,,724.1366362599999,-5.3329552720000075,61.494467775906536,6.188806853680195,0.0,6.188806853680195,4.863850392061158,1.1445184673198014,1.3249564616190366,TIME_CUTOFF,vwap,2025-11-06 10:45:00,103433.21233800589,103548.5,103283.5,103305.47122785993,103303.51410115274,129,16,1
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emvwap_w0900-1500,7,2025-11-07 09:40:00,2025-11-07 13:40:00,4.0,101589.0,101908.0,101600.0,103200.0,99600.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-103200-081125,sell,100,461.47584709,458.0711958645949,0.7377745220848071,1.1987502,444.98269751,448.2656664799145,1.2025144,0,0.9805529384680427,P-BTC-99600-081125,sell,100,471.72630311,468.24602663168184,0.7377745220848071,1.1987502,298.28647169,301.8318888269409,1.2025144,0,16.641413780474096,,,0,,,,,,,,0,,,,0,,,,,,,,0,,92.63172224962767,0,92.63172224962767,-3.0859931703723236,20.0,18.526344449925535,18.526344449925535,,,933.2021502,-3.754688036999995,71.26620394638402,17.62196671894214,0.0,17.62196671894214,4.8025292,1.3713313810578656,12.81943751894214,TARGET,vwap,2025-11-07 09:40:00,101633.23427193436,102315.5,101210.0,101495.39968799613,101269.02923038583,116,3,1
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emvwap_w0900-1500,8,2025-11-08 09:00:00,2025-11-08 17:29:00,8.483333333333333,102974.0,101832.5,103000.0,104600.0,101000.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-104600-091125,sell,100,54.28007641,51.20585206251683,5.6636330506653465,0.21148016901819452,25.37009271,26.806961665708002,0.11071275167937406,0,2.4398890396808834,P-BTC-101000-091125,sell,100,55.28749876,52.15621770734244,5.6636330506653465,0.21540517913132431,166.61587693,168.59626438105403,0.6963025718937532,0,-11.644004667371158,,,0,,,,,,,,0,,,,0,,,,,,,,0,,10.336206976985927,0,10.336206976985927,-1.0474358881635912,20.0,2.0672413953971858,2.0672413953971858,,,109.56757517,-9.93331461,15.840612909036295,-9.204115627690275,0.0,-9.204115627690275,1.2339006717226462,0.9622761806902738,-10.43801629941292,TIME_CUTOFF,vwap,2025-11-08 09:00:00,103087.4563004475,103274.5,102716.5,103093.95066991792,103196.92884975005,108,8,1
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emvwap_w0900-1500,9,2025-11-09 09:45:00,2025-11-09 17:29:00,7.733333333333333,101822.0,102205.0,101800.0,104000.0,99400.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-104000-101125,sell,100,184.81958858,182.62283278051171,1.188594681097551,0.7542322993835133,276.98495273,280.27718114558934,1.157544758131284,0,-9.765434836507763,P-BTC-99400-101125,sell,100,182.29525816,180.1285064176172,1.188594681097551,0.7439307315047591,189.51490691,191.76747101341925,0.7919996552854217,0,-1.1638964595802066,,,0,,,,,,,,0,,,,0,,,,,,,,0,,36.27513391981289,0,36.27513391981289,-1.934513785075381,20.0,7.2550267839625775,7.2550267839625775,,,367.11484673999996,-17.481392745,40.848667625346636,-10.92933129608797,0.0,-10.92933129608797,3.447707444304978,0.9908300060879696,-14.377038740392948,TIME_CUTOFF,vwap,2025-11-09 09:45:00,101782.06526506615,102080.5,101328.0,102062.65840782583,101850.64708120712,117,24,1
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emvwap_w0900-1500,10,2025-11-10 10:00:00,2025-11-10 14:09:00,4.15,105892.5,105876.0,105800.0,107600.0,104200.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-107600-111125,sell,100,480.71983811,477.1732096218171,0.7377745220848071,1.2495315,365.49506764,368.19159712852456,1.2493368,0,10.898161249329252,P-BTC-104200-111125,sell,100,419.61552833,416.5197118712697,0.7377745220848071,1.2495315,353.06810928,355.6729558358744,1.2493368,0,6.084675603539529,,,0,,,,,,,,0,,,,0,,,,,,,,0,,89.36929214930868,0,89.36929214930868,-3.1633074946913258,20.0,17.873858429861738,17.873858429861738,,,900.33536644,-0.5519734680000004,69.05395830772173,16.982836852868783,0.0,16.982836852868783,4.9977366,1.1943820991312237,11.985100252868783,TARGET,vwap,2025-11-10 10:00:00,105852.90460169433,104725.0,104220.5,104655.05091653341,104655.98561313408,120,18,1
