arm,basket_id,entry_ts_ist,exit_ts_ist,hold_hours,entry_spot,exit_spot,atm_strike,short_call_strike,short_put_strike,prot_call_strike,prot_put_strike,prot_call_otm_pts,prot_put_otm_pts,exact_strike_available,strike_gap_pts,qty_short,qty_protection,protection_ratio,short_dte,short_call_symbol,short_call_side,short_call_qty,short_call_entry_mark,short_call_entry_fill,short_call_entry_slip_pct,short_call_entry_fee,short_call_exit_mark,short_call_exit_fill,short_call_exit_fee,short_call_expired_flag,short_call_leg_pnl_usd,short_put_symbol,short_put_side,short_put_qty,short_put_entry_mark,short_put_entry_fill,short_put_entry_slip_pct,short_put_entry_fee,short_put_exit_mark,short_put_exit_fill,short_put_exit_fee,short_put_expired_flag,short_put_leg_pnl_usd,prot_call_symbol,prot_call_side,prot_call_qty,prot_call_entry_mark,prot_call_entry_fill,prot_call_entry_slip_pct,prot_call_entry_fee,prot_call_exit_mark,prot_call_exit_fill,prot_call_exit_fee,prot_call_expired_flag,prot_call_leg_pnl_usd,prot_put_symbol,prot_put_side,prot_put_qty,prot_put_entry_mark,prot_put_entry_fill,prot_put_entry_slip_pct,prot_put_entry_fee,prot_put_exit_mark,prot_put_exit_fill,prot_put_exit_fee,prot_put_expired_flag,prot_put_leg_pnl_usd,short_credit,long_debit,net_credit,entry_drag,target_pct,target_usd,target_usd_absolute,stop_usd,stop_usd_absolute,short_premium_entry_points,mae_usd,net_theta_entry,shorts_pnl,protection_pnl,gross_usd,fees_usd,slippage_usd,net_usd,exit_reason
q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,1,2026-06-01 09:00:00,2026-06-01 14:44:00,5.733333333333333,73946.0,72947.5,74000.0,75200.0,72400.0,75200.0,72400.0,1254.0,1546.0,1,0.0,100,300,3.0,1,C-BTC-75200-020626,sell,100,117.42445187,116.02875108076522,1.188594681097551,0.4791987419635604,16.25723442,17.17798452173526,0.07094507607476665,0,9.885076655902996,P-BTC-72400-020626,sell,100,121.40392163,119.96092107486197,1.188594681097551,0.49543860403918005,282.70286299,286.06305418280965,0.8607805,0,-16.61021331079477,C-BTC-75200-010626,buy,300,16.02599814,16.933651867356055,5.6636330506653465,0.2098079466365415,0.1,0.09433636694933466,0.0011688275865022564,0,-5.051794650122016,P-BTC-72400-010626,buy,300,12.10820792,12.7939723856004,5.6636330506653465,0.15851731785758896,14.73314081,13.898709777683775,0.17220501414550196,0,0.3314212176250127,23.598967215562723,8.918287275886936,14.680679939675787,-2.1048582028210885,20.0,2.936135987935158,2.936135987935158,-10.0,-10.0,238.8283735,-10.003491966000004,-36.52331882034444,-6.725136654891774,-4.720373432497003,-11.445510087388778,2.448062028303642,1.442018121388773,-13.89357211569242,STOPLOSS
q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,2,2026-06-02 09:00:00,2026-06-02 14:37:00,5.616666666666666,70907.0,69683.5,71000.0,72800.0,68800.0,72800.0,69200.0,1893.0,1707.0,0,400.0,100,300,3.0,1,C-BTC-72800-030626,sell,100,92.79104546,87.53570114126954,5.6636330506653465,0.3615224457134432,6.92407716,7.316231482487331,0.03021603602267268,0,8.021946965878222,P-BTC-68800-030626,sell,100,92.56229924,87.3199102677876,5.6636330506653465,0.36063122940596287,283.71681061,287.0890535302901,0.8222653000000001,0,-19.97691432625025,C-BTC-72800-020626,buy,300,4.96774623,5.2491011473554625,5.6636330506653465,0.06503636321573418,0.1,0.09433636694933466,0.0011688275865022564,0,-1.5464294341218385,P-BTC-69200-020626,buy,300,17.1905747,18.164185770308514,5.6636330506653465,0.2250542616941225,23.34658327,22.024318463719172,0.2728813057654806,0,1.1580398080231975,17.485561140905716,7.0239860752991925,10.461575065606525,-2.438507425422742,20.0,2.092315013121305,2.092315013121305,-10.0,-10.0,185.3533447,-10.142275604999998,-29.102269795232214,-11.954967360372027,-0.388389626098641,-12.343356986470669,2.1387757694039182,2.201081381470669,-14.482132755874588,STOPLOSS
q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,3,2026-06-05 09:00:00,2026-06-05 09:02:00,0.03333333333333333,62699.0,62830.0,62600.0,64400.0,60000.0,64400.0,61200.0,1701.0,1499.0,0,1200.0,100,300,3.0,1,C-BTC-64400-060626,sell,100,169.84337041,167.82462114310994,1.188594681097551,0.6931156853210442,191.87912779,194.15979289704833,0.7413940000000001,0,-2.63351717539384,P-BTC-60000-060626,sell,100,177.69732266,175.58522173441048,1.188594681097551,0.7251669657631152,159.03264846,160.92290206080412,0.6646115855111211,0,1.4662319673606363,C-BTC-64400-050626,buy,300,20.92786509,22.113142574035898,5.6636330506653465,0.2739818364923048,21.55669792,20.33580565197079,0.25196063202791813,0,-0.5332010766195321,P-BTC-61200-050626,buy,300,143.74020429,145.4486927127897,1.188594681097551,1.8021093027114645,97.8383081,92.2971053462366,1.1435611352398716,0,-15.945476209965925,34.34098428775204,50.26855058604768,-15.927566298295638,-4.775588581583562,20.0,0.0,0.0,-10.0,-10.0,347.54069307,-13.919027325999998,-175.71586998407304,-1.1672852080332035,-16.47867728658546,-17.64596249461866,6.29590114306684,3.7269351686186614,-23.9418636376855,STOPLOSS
q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,4,2026-06-06 09:00:00,2026-06-06 12:15:00,3.25,60700.5,60836.0,60800.0,62400.0,58400.0,62400.0,58400.0,1699.5,2300.5,1,0.0,100,300,3.0,1,C-BTC-62400-070626,sell,100,96.55132092,91.0830083975209,5.6636330506653465,0.37617282468176133,123.64214539,125.11174935370045,0.5167115248307829,0,-3.402874095617955,P-BTC-58400-070626,sell,100,119.15732654,117.74102889460751,1.188594681097551,0.48627044933472907,98.88374015,104.48415233886944,0.4315195491595308,0,1.3256876555738075,C-BTC-62400-060626,buy,300,6.83890266,7.226233011354592,5.6636330506653465,0.08953302701068339,17.42537558,16.438466249448553,0.20367259683066755,0,2.7636699714281883,P-BTC-58400-060626,buy,300,9.3938415,9.92587421192112,5.6636330506653465,0.12298158148570267,12.92448962,12.192493954251866,0.1510650000931806,0,0.679985922699224,20.88240372921284,5.145632166982713,15.736771562230127,-2.039227818282748,20.0,3.1473543124460255,3.1473543124460255,-10.0,-10.0,215.70864746,-7.548562519000001,-17.736589754946294,-2.0771864400441475,3.4436558941274122,1.3664694540832647,2.3779265534270384,2.1869430499167355,-1.0114570993437737,TARGET
q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,5,2026-06-07 09:00:00,2026-06-07 17:13:00,8.216666666666667,61595.5,62647.0,61600.0,63000.0,59600.0,63000.0,59600.0,1404.5,1995.5,1,0.0,100,300,3.0,1,C-BTC-63000-080626,sell,100,309.6039733,307.31979406563033,0.7377745220848071,0.7268268999999999,573.56509061,577.7967077160932,0.7392346000000001,0,-27.04769136504629,P-BTC-59600-080626,sell,100,305.29718057,303.0447757551113,0.7377745220848071,0.7268268999999999,107.92989972,109.21274876738583,0.45104865240930353,0,19.383202698772546,C-BTC-63000-070626,buy,300,8.1375533,8.59843445821431,5.6636330506653465,0.1065346029372753,0.9807208,0.9251763726364504,0.01146293525696562,0,-2.301977425673358,P-BTC-59600-070626,buy,300,5.44925941,5.757885466961252,5.6636330506653465,0.07134020093564991,0.1,0.09433636694933466,0.0011688275865022564,0,-1.6990647300035753,61.036456982074164,4.306895977552669,56.72956100452149,-2.3160391733514345,20.0,11.3459122009043,11.3459122009043,-10.0,-10.0,614.90115387,-10.411211218999993,14.836392655294382,-7.664488666273744,-4.001042155676933,-11.665530821950677,2.8344436191256963,1.2543196029506847,-14.499974441076374,STOPLOSS
q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,6,2026-06-08 09:00:00,2026-06-08 12:58:00,3.966666666666667,63187.5,63184.0,63200.0,64600.0,61000.0,64600.0,61000.0,1412.5,2187.5,1,0.0,100,300,3.0,1,C-BTC-64600-090626,sell,100,350.03158456,347.4491407098666,0.7377745220848071,0.7456125,277.95383694,281.2575814617754,0.7455712,0,6.619155924809121,P-BTC-61000-090626,sell,100,339.42751619,336.92330645460487,0.7377745220848071,0.7456125,282.57493717,285.93360784331736,0.7455712,0,5.098969861128751,C-BTC-64600-080626,buy,300,21.11856022,22.314637976444583,5.6636330506653465,0.2764783645281484,15.39633781,14.524345733200754,0.17995664363435732,0,-2.3370876729731487,P-BTC-61000-080626,buy,300,13.03328045,13.771437629152105,5.6636330506653465,0.17062811222519456,17.36513942,16.38164164451476,0.2029685399755379,0,0.7830612046087969,68.43724471644714,10.825822681679007,57.61142203476813,-3.0272673159852053,20.0,11.522284406953627,11.522284406953627,-10.0,-10.0,689.4591007500001,-2.525997377999996,-18.527675763401206,11.718125785937872,-1.5540264683643517,10.164099317573521,3.812399060363238,2.3118243144264836,6.351700257210283,TARGET
q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,7,2026-06-09 09:00:00,2026-06-09 13:34:00,4.566666666666666,62766.0,63054.0,62800.0,64400.0,60600.0,64400.0,60600.0,1634.0,2166.0,1,0.0,100,300,3.0,1,C-BTC-64400-100626,sell,100,142.24082253,140.550155679059,1.188594681097551,0.5804721429545138,179.99007795,182.12943044301704,0.7440372000000001,0,-4.1579274763958045,P-BTC-60600-100626,sell,100,151.22561363,149.42815402993668,1.188594681097551,0.6171382761436386,85.12867392,89.95004963172626,0.3714937049790295,0,5.947810439821042,C-BTC-64400-090626,buy,300,5.51969853,5.83231400024217,5.6636330506653465,0.07226237046300049,15.57123945,14.689341586111558,0.18200094225192223,0,2.6571082757608164,P-BTC-60600-090626,buy,300,2.21796564,2.3435830750394415,5.6636330506653465,0.029036994299738682,0.58928652,0.5559114938901644,0.006887743409299137,0,-0.5363014743447831,28.99783097089957,2.4527691225844834,26.545061848315086,-1.779192300545807,20.0,5.309012369663018,5.309012369663018,-10.0,-10.0,293.46643616,-5.702891378999999,8.706315882348967,1.7898829634252378,2.120806801416033,3.9106897648412717,2.6033293745011425,1.4509372041587292,1.3073603903401292,TARGET
q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,8,2026-06-10 09:00:00,2026-06-10 17:29:00,8.483333333333333,61509.0,60980.0,61600.0,63200.0,58800.0,63200.0,58800.0,1691.0,2709.0,1,0.0,100,300,3.0,1,C-BTC-63200-110626,sell,100,184.99421468,182.79538328397533,1.188594681097551,0.7258062000000001,97.74052968,103.27619462285185,0.42653068379237813,0,7.951918866112348,P-BTC-58800-110626,sell,100,173.24585476,171.18666374510065,1.188594681097551,0.7070009212672658,211.91436954,214.43317246483386,0.7199062000000002,0,-4.324650871973321,C-BTC-63200-100626,buy,300,11.00696906,11.63036339755867,5.6636330506653465,0.14410020249575192,0.0,0.0,0.0,1,-3.489109019267601,P-BTC-58800-100626,buy,300,2.7022781,2.8553252155924915,5.6636330506653465,0.03537747942119097,0.0,0.0,0.0,1,-0.8565975646777474,35.3982047029076,4.345706583945348,31.05249811896225,-2.2710194802219585,20.0,6.210499623792451,6.210499623792451,-10.0,-10.0,358.24006943999996,-3.3836709520000023,1.7458231093429504,3.627267994139027,-4.345706583945348,-0.7184385898063214,2.7587216869765867,1.4641814638063213,-3.477160276782908,TIME_CUTOFF
q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,9,2026-06-11 09:00:00,2026-06-11 10:58:00,1.9666666666666666,62118.0,62582.0,62200.0,64000.0,59500.0,64000.0,59600.0,1882.0,2518.0,0,100.0,100,300,3.0,1,C-BTC-64000-120626,sell,100,107.535588,106.25742572074502,1.188594681097551,0.43884316822667696,152.58470456,154.3983182425686,0.6376650543418083,0,-4.814089252182358,P-BTC-59500-120626,sell,100,108.23364364,106.94718430853688,1.188594681097551,0.44169187119425735,60.63020184,64.06407399009535,0.26458462557909385,0,4.288311031844152,C-BTC-64000-110626,buy,300,2.03443596,2.149658947425181,5.6636330506653465,0.026634274358597994,16.94233118,15.98277971173634,0.19802664062841327,0,4.149936229293347,P-BTC-59600-110626,buy,300,1.00844677,1.0655614945640872,5.6636330506653465,0.013202306917649039,0.52979189,0.49978642141821544,0.006192353761371689,0,-0.1697325219437615,21.32046100292819,0.9645661325967805,20.35589487033141,-1.2285350953657725,20.0,4.0711789740662825,4.0711789740662825,-10.0,-10.0,215.76923164,-5.354998153,15.954979654123367,-0.5257782203382053,3.980203707349586,3.4544254870113806,2.0268402950078683,1.1297791389886187,1.4275851920035123,TARGET
q100_pr3_tp20_dd10_off2000_po0_cut1729_sdte1,10,2026-06-12 09:00:00,2026-06-12 13:19:00,4.316666666666666,63416.0,63019.5,63400.0,65200.0,61400.0,65200.0,61400.0,1784.0,2016.0,1,0.0,100,300,3.0,1,C-BTC-65200-130626,sell,100,83.67885614,78.93959278723624,5.6636330506653465,0.3260205182112857,24.61163297,26.005545549197368,0.10740290311818515,0,5.293404723803888,P-BTC-61400-130626,sell,100,89.14367989,84.09490897317063,5.6636330506653465,0.34731197405919473,112.49840083,113.83555083858518,0.4701408249633568,0,-2.9740641865414545,C-BTC-65200-120626,buy,300,1.71548599,1.8126448215091735,5.6636330506653465,0.02245866933849866,0.72922855,0.6879277208273122,0.0085234244610504,0,-0.3374151302045584,P-BTC-61400-120626,buy,300,0.99589449,1.052298299485395,5.6636330506653465,0.013037975930624045,0.54379109,0.5129927581001866,0.0063559802728613115,0,-0.16179166241556253,16.303450176040688,0.8594829362983706,15.443967239742317,-1.7337013567972863,20.0,3.0887934479484636,3.0887934479484636,-10.0,-10.0,172.82253602999998,-2.64842455,12.116580606855663,2.319340537262433,-0.4992067926201209,1.8201337446423125,1.3012522703550566,1.3196082263576892,0.5188814742872558,TARGET
