ts,ts_ist,leg,old_strike,new_strike,old_exit_premium,new_entry_premium,trigger_pct,fee,slippage,other_short_premium,new_net_credit,new_target_usd,basket_id,arm,entry_date
1762687200,2025-11-09 16:50:00,short_call,103400.0,104600.0,494.3708011,223.26120248,200.0,2.117629605930781,0.6301012592774129,225.14094805,40.6422761910294,8.12845523820588,8,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2025-11-09
1762938660,2025-11-12 14:41:00,short_call,105200.0,108800.0,700.90092093,59.81925704,200.0,1.470096626108071,0.779266888780908,79.5088341,22.888517892537813,4.577703578507562,10,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2025-11-12
1765099440,2025-12-07 14:54:00,short_put,87600.0,86800.0,427.79382435,266.93037419,200.0,2.1025948000000003,0.632887407296272,275.98078173,44.63267413788615,8.92653482757723,25,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2025-12-07
1765705140,2025-12-14 15:09:00,short_put,87600.0,87200.0,209.74174333,163.30459903,200.0,1.5429609450811501,0.4434008983319927,173.48788201,26.25874871867737,5.251749743735474,31,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2025-12-14
1765949100,2025-12-17 10:55:00,short_put,85000.0,82000.0,372.6095124,61.62943978,200.0,1.2577105645184785,0.6239483369671639,69.00539236,21.37426513498986,4.274853026997972,33,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2025-12-17
1767082500,2025-12-30 13:45:00,short_call,89600.0,91200.0,211.59968871,51.95184458,200.0,1.086703086813023,0.5457424485289217,54.32755084,12.58335607484829,2.516671214969658,44,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2025-12-30
1768122960,2026-01-11 14:46:00,short_call,92800.0,93200.0,84.34764302,53.88141405,200.0,0.578012301755766,0.7828786561839594,58.12002952,9.097113540733375,1.819422708146675,51,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-01-11
1769239140,2026-01-24 12:49:00,short_put,87200.0,86800.0,3.6910582,1.67354846,200.0,0.022627737264836686,0.030383163583395458,1.8806435,0.0704249387686463,0.014084987753729261,60,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-01-24
1770539640,2026-02-08 14:04:00,short_call,71200.0,74000.0,783.65335463,140.3815717,200.0,1.4070385057168497,0.6593341066679671,146.69359742,44.499988399650796,8.89999767993016,68,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-02-08
1771566420,2026-02-20 11:17:00,short_call,69200.0,70400.0,277.23363259,96.78585852,200.0,1.179203404738268,0.8776780082687182,126.35032519,21.112585807810532,4.222517161562107,78,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-02-20
1771840920,2026-02-23 15:32:00,short_call,66600.0,69000.0,761.1560552,81.10431765,200.0,1.1008668795125394,0.9376842599492505,97.69549917,-8.743242980651594,0.0,81,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-02-23
1772165520,2026-02-27 09:42:00,short_call,69000.0,70800.0,310.38021199,73.61717237,200.0,1.088434573021159,0.6459312630967631,82.2375444,19.466535358406155,3.8933070716812312,83,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-02-27
1772609340,2026-03-04 12:59:00,short_call,69600.0,71200.0,566.44616946,183.28424247,200.0,1.5591930884934992,0.6357602276889593,188.76885405,33.39511207348151,6.679022414696303,88,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-03-04
1774504860,2026-03-26 11:31:00,short_put,69000.0,66500.0,525.28400193,128.37493865,200.0,1.3479515043538302,0.5401269227483128,143.64641377,28.776401083278024,5.755280216655605,106,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-03-26
1769239380,2026-01-24 12:53:00,short_put,87200.0,86800.0,4.68138691,1.66184122,250.0,0.02690382820601337,0.0359257164849782,2.27845727,0.06932052028004243,0.013864104056008486,60,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2026-01-24
