ts,ts_ist,leg,old_strike,new_strike,old_exit_premium,new_entry_premium,trigger_pct,fee,slippage,other_short_premium,new_net_credit,new_target_usd,basket_id,arm,entry_date
1772964300,2026-03-08 15:35:00,short_call,68800.0,70200.0,464.35117546,142.37185728,200.0,1.3815660841123694,0.5118088988555058,156.85201477,37.24784274231923,7.449568548463846,127,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-03-08
1774504860,2026-03-26 11:31:00,short_put,69000.0,66500.0,525.28400193,128.37493865,200.0,1.3479515043538302,0.5401269227483128,143.64641377,37.56635525615425,7.513271051230851,145,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-03-26
1774681740,2026-03-28 12:39:00,short_call,67800.0,68400.0,43.07788951,15.81035704,200.0,0.24958655346332667,0.33352141945630986,18.95981235,3.654507865085128,0.7309015730170256,147,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-03-28
1762582440,2025-11-08 11:44:00,short_put,101000.0,99000.0,144.4560517,23.66041195,250.0,0.6958778315627916,0.30570358581535156,27.9852051,7.352622510139306,1.4705245020278612,8,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2025-11-08
1762841280,2025-11-11 11:38:00,short_put,104400.0,100400.0,709.88398307,66.79578868,250.0,1.4979858349045307,0.8244246989288023,70.48690637,34.2543503189602,6.8508700637920406,11,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2025-11-11
1765881960,2025-12-16 16:16:00,short_call,87200.0,90200.0,955.44665577,118.38149738,250.0,1.5129021595507868,0.6834960771518197,122.73565632,47.325372061954475,9.465074412390896,45,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2025-12-16
1769239380,2026-01-24 12:53:00,short_put,87200.0,86800.0,4.68138691,1.66184122,250.0,0.02690382820601337,0.0359257164849782,2.27845727,0.34098326988216354,0.06819665397643271,84,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2026-01-24
1770025680,2026-02-02 15:18:00,short_call,76600.0,81000.0,1849.7366219,160.49018367,250.0,1.5727088622976768,1.2415916316634055,166.49713461,94.17448277758557,18.834896555517116,93,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2026-02-02
1770447060,2026-02-07 12:21:00,short_put,69200.0,67000.0,446.73091967,110.00680338,250.0,1.2701666783523229,0.460340192142057,111.65169247,48.90183878394065,9.78036775678813,98,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2026-02-07
1770551460,2026-02-08 17:21:00,short_call,71200.0,74800.0,908.06179321,70.39481861,250.0,1.1137815864606346,0.9145595788675054,92.64268471,40.75239028635747,8.150478057271494,99,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2026-02-08
1772165760,2026-02-27 09:46:00,short_call,69000.0,71600.0,381.22804491,57.30349323,250.0,1.027718778967231,0.6058062968148108,68.34122577,20.26773495291314,4.053546990582628,118,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2026-02-27
1772610420,2026-03-04 13:17:00,short_call,69600.0,72800.0,838.73178074,104.99432874,250.0,1.2474869152578776,0.6518863777135578,119.37542693,38.221339230061915,7.644267846012383,123,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2026-03-04
1774683960,2026-03-28 13:16:00,short_call,67800.0,68600.0,55.29032016,18.91731655,250.0,0.3149854777772195,0.420284823882523,21.75385605,3.9476071375172133,0.7895214275034427,147,q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2026-03-28
