basket_id,arm,ts_ist,spot,spot_move_pct_from_entry,short_call_mark,short_put_mark,prot_call_mark,prot_put_mark,shorts_mtm,protection_mtm,net_mtm_cost_adjusted,pct_of_net_credit
1,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-01 09:00:00,110019.5,0.0,67.83933214,68.75805846,20.15215955,3.99006215,-0.7736374960368047,-0.1367326847366103,0.0,0.0
1,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-01 10:00:00,110285.5,0.24177532164752613,106.85912022,56.34248823,39.22730671,2.99815238,-3.4340592810368045,1.6715910542633898,-0.8520980459999996,-8.244663283195571
1,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-01 11:00:00,110124.5,0.09543762696612873,85.91003657,61.57442835,22.06798856,2.94109468,-1.862344928036805,-0.050046530736610334,-1.0020212780000004,-9.69527870470825
1,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-01 12:00:00,110008.5,-0.009998227586927772,77.3884971,74.16286233,11.31698391,2.51372518,-2.269034379036804,-1.1678839457366106,-2.526548144,-24.446175899413724
1,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-01 13:00:00,110182.5,0.14815555424265697,116.61652333,72.48794932,15.39714393,1.63505835,-6.024345701036806,-0.8477346267366103,-5.961710147000002,-57.68384634228513
1,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-01 14:00:00,110144.0,0.11316175768840978,106.5406215,65.39833173,6.56903785,1.92643845,-4.307793759036804,-1.7014072247366103,-5.098830803,-49.33486622350583
1,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-01 15:00:00,110116.0,0.08771172383077545,103.78851058,70.3965512,2.02127688,0.28170068,-4.532404614036805,-2.3206570987366106,-5.942691532000001,-57.499827522474654
1,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-01 16:00:00,109977.5,-0.03817505078645149,87.56784549,79.60901483,0.12077609,0.1,-3.831584468036805,-2.5288772457366107,-5.450091533000002,-52.73356717940438
1,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-01 17:00:00,110001.5,-0.016360736051336353,84.07566266,83.19527183,0.1,0.1,-3.8409918850368054,-2.5309548547366103,-5.461576559000001,-52.84469309104476
1,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-01 17:29:00,110108.0,0.08044028558573707,109.67409252,69.88871817,0.1,0.1,-5.070179505036806,-2.5309548547366103,-6.690764179000002,-64.73797002830061
2,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-02 09:00:00,109990.0,0.0,266.93782384,262.78751294,6.19098459,5.59419372,-0.6296287177393197,-0.06674692538450051,0.0,0.0
2,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-02 10:00:00,110085.5,0.08682607509773616,310.62013612,252.96014857,11.54153491,5.44495152,-4.0151235087393164,0.45338388661549944,-2.865363978999997,-5.60762486793399
2,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-02 11:00:00,110391.5,0.365033184834985,392.09045599,196.89463032,26.75265769,2.1797834,-6.55560367073932,1.6479793526154998,-4.211248675,-8.24157174029446
2,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-02 12:00:00,110375.0,0.35003182107464315,391.87552108,198.02542751,17.97957389,1.78776295,-6.647189898739317,0.7314689276154998,-5.219345327999996,-10.214454732498714
2,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-02 13:00:00,110496.0,0.4600418219838167,414.09828032,194.46228945,20.24766264,1.46768857,-8.513152016739319,0.9262703646154997,-6.890506008999999,-13.484978917827398
2,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-02 14:00:00,110756.0,0.6964269479043549,542.18765989,171.33612515,34.07538702,0.73260462,-19.00947354373931,2.2355344076155,-16.077563492999992,-31.4643952809789
2,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-02 15:00:00,110895.5,0.823256659696336,588.58577176,159.95225073,29.98209501,0.56543595,-22.510897288739315,1.809488339615499,-20.005033305999998,-39.15060113574961
2,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-02 16:00:00,110415.5,0.38685335030457313,469.66667465,250.55966704,1.93965552,0.66987398,-19.67972920873932,-0.9843118063845004,-19.967665372000003,-39.0774706861811
2,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-02 17:00:00,110850.0,0.7818892626602418,602.63493582,168.5813183,0.61215225,0.1,-24.778720451739318,-1.1740495313845005,-25.256394339999996,-49.42771180670705
2,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-02 17:29:00,111157.0,1.0610055459587235,721.55243101,143.73791738,0.1,0.1,-34.18612987873932,-1.2252647563845005,-34.715018992,-67.9385953118175
3,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-03 09:00:00,108043.0,0.0,517.30729417,500.70455587,144.42930562,251.52722894,-0.7510632061399406,-0.4706318309238356,0.0,0.0
3,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-03 10:00:00,107682.0,-0.33412622752052423,424.87277472,585.8182542,80.14417983,298.97326622,-0.018981094139940424,-2.154540681923833,-0.9518267389999968,-1.5607852727161662
3,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-03 11:00:00,107940.0,-0.09533241394629915,467.18633561,487.18455934,92.35882244,196.86696133,5.613032302860052,-11.143706909923836,-4.308979570000006,-7.065773189306117
3,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-03 12:00:00,107371.0,-0.6219745841933304,340.09561947,665.81889605,25.02031318,290.3238309,0.45867024586005556,-8.531870878923833,-6.851505596000002,-11.234953371245055
3,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-03 13:00:00,107525.5,-0.4789759632738817,369.47472104,610.67052766,16.30997732,153.40657494,3.035596927860059,-23.094630060923834,-18.837338096000003,-30.889066962230075
3,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-03 14:00:00,107185.5,-0.7936654850383643,268.76571791,687.53962326,2.95738557,173.47392112,5.419587680860062,-22.423154617923835,-15.781871899999999,-25.878778382809415
3,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-03 15:00:00,107378.5,-0.6150329035661727,262.92673185,574.51311698,1.47249552,68.08330624,17.30613691486006,-33.11070511092384,-14.582873159000005,-23.912685710392886
3,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-03 16:00:00,107395.0,-0.5997612061864258,243.42566525,539.74888195,0.54663603,20.16909519,22.73266707786005,-37.99471216492384,-14.040350050000011,-23.023067837790357
3,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-03 17:00:00,107603.0,-0.40724526345991874,269.64555379,477.41504819,0.1,0.61491301,26.34406159986006,-39.994793985923835,-12.429037349000001,-20.380871490056393
3,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-03 17:29:00,107748.5,-0.27257665929305924,293.18687929,433.17387014,0.1,0.1,28.414046854860054,-40.04628528692383,-10.410543395000008,-17.070987970940607
4,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-04 09:00:00,106874.0,0.0,675.91863946,673.24185614,141.28985134,125.06604685,-0.8478633281518342,-0.3165892038675949,0.0,0.0
4,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-04 10:00:00,106914.0,0.03742725078129386,684.85580959,635.45470952,137.26634878,103.87634428,2.037134320848156,-2.837909716867599,0.3636771359999864,0.33951707636979195
4,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-04 11:00:00,105563.0,-1.2266781443569064,349.81946759,1211.82585174,12.85198661,584.55447392,-22.096345701151833,32.7884670301324,11.856573860999998,11.068909465480848
4,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-04 11:13:00,104982.0,-1.7703089619551995,271.98751021,1564.15483501,4.57210148,972.97403852,-49.54604829015183,70.8024349771324,22.420839219000012,20.931361990797075
5,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-05 09:00:00,102043.0,0.0,1074.78608317,1074.40793986,414.32169384,677.15993876,-1.2209553561808435,-0.7312288288096284,0.0,0.0
5,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-05 10:00:00,101581.0,-0.4527503111433415,835.8282488,1225.0764375,210.97291323,858.91780905,7.607978316819139,-2.8903198608096403,6.6698426409999705,6.424487922879024
5,q100_pr1_tp20_ddnone_off1200_po0_cut1729_sdte1,2025-11-05 11:00:00,101853.0,-0.18619601540527034,888.27581969,1014.26876216,222.88363015,616.01668063,23.44398876181914,-25.98936101080964,-0.5931880640000271,-0.5713672358232448
